group_id,page_id,qa_id,question,answer,similarity_score,action,kept_qa_id
exact-001,-001,-001-q02,Who wrote this Getrag 265/5 rebuild article?,"Mike Oswald wrote the article on August 2, 2020.",1.0,kept,-001-q02
exact-001,getrag-001,getrag-001-q02,Who wrote this Getrag 265/5 rebuild article?,The article was written by Dave @NZ.,1.0,dropped,-001-q02
exact-002,getrag-001,getrag-001-q04,Which BMW models does this Getrag 265/5 transmission article apply to?,This article applies to all BMW models with the Getrag 265/5 transmission.,1.0,kept,getrag-001-q04
exact-002,-001,-001-q03,Which BMW models does this Getrag 265/5 transmission article apply to?,The article applies to all BMW models with the Getrag 265/5 transmission.,1.0,dropped,getrag-001-q04
exact-003,-001,-001-q04,What was the main problem that prompted this transmission rebuild?,"The main problem was rattle noise when hot with the foot off the clutch, which was more pronounced with ATF oil. If the owner ran gearbox oil 70/90, the noise was good but would be stiff to change in cold weather.",1.0,kept,-001-q04
exact-003,getrag-001,getrag-001-q05,What was the main problem that prompted this transmission rebuild?,"The main problem was rattle noise when hot with the foot off the clutch, which was more pronounced with ATF oil. If gearbox oil 70/90 was run, the noise was good but would be stiff to change in cold weather.",1.0,dropped,-001-q04
exact-004,getrag-001,getrag-001-q06,How many syncro rings were purchased for this rebuild?,Five syncro rings were purchased for this rebuild.,1.0,kept,getrag-001-q06
exact-004,-001,-001-q05,How many syncro rings were purchased for this rebuild?,5 syncro rings were purchased for this rebuild.,1.0,dropped,getrag-001-q06
exact-005,getrag-002,getrag-002-q01,What condition were the bearings in when the front cover was removed?,"The bearings looked all intact, which was the only good thing found during disassembly.",1.0,kept,getrag-002-q01
exact-005,-002,-002-q02,What condition were the bearings in when the front cover was removed?,The bearings looked all intact and in good condition.,1.0,dropped,getrag-002-q01
exact-006,-006,-006-q02,How much force was required to get the component moving during this procedure?,4.5 tons of force was required to get it moving.,1.0,kept,-006-q02
exact-006,getrag-006,getrag-006-q02,How much force was required to get the component moving during this procedure?,4.5 tons of force was required to get it moving.,1.0,dropped,-006-q02
exact-007,-017,-017-q01,What component is shown in the image?,A metal housing or case assembly with multiple mounting holes and what appears to be a splined shaft or input connection.,1.0,kept,-017-q01
exact-007,-008,-008-q01,What component is shown in the image?,"A synchronizer ring or synchro ring from a transmission, showing its internal splined surface and external gear teeth.",1.0,dropped,-017-q01
exact-008,getrag-010,getrag-010-q02,What is the condition of the bearing shown in the photograph?,"The bearing appears to be new and genuine, as indicated by the caption.",1.0,kept,getrag-010-q02
exact-008,-010,-010-q02,What is the condition of the bearing shown in the photograph?,"The bearing is new and genuine, as indicated by the caption.",1.0,dropped,getrag-010-q02
exact-009,getrag-013,getrag-013-q01,What tools are required to remove the reverse gear and main output shaft bearing?,A puller is required along with some heat from a hot air gun to get the reverse gear and main output shaft bearing off.,1.0,kept,getrag-013-q01
exact-009,-013,-013-q01,What tools are required to remove the reverse gear and main output shaft bearing?,A puller is required along with some heat from a hot air gun.,1.0,dropped,getrag-013-q01
exact-010,-015,-015-q01,What transmission components are visible in the disassembled hub assembly?,"The image shows various transmission components including input shafts, gears with teeth, synchro rings, shift forks, and housing components spread out on newspaper.",1.0,kept,-015-q01
exact-010,getrag-015,getrag-015-q01,What transmission components are visible in the disassembled hub assembly?,"The disassembled hub assembly shows various gears, shafts, synchro rings, shift forks, and housing components laid out on newspaper.",1.0,dropped,-015-q01
exact-011,-022,-022-q08,What is the purpose of polishing the shift rods where they go through bushes?,Polishing the shift rods where they go through bushes helps smooth gear shifting and prolongs the seal life.,1.0,kept,-022-q08
exact-011,getrag-022,getrag-022-q05,What is the purpose of polishing the shift rods where they go through bushes?,Polishing the shift rods where they go through bushes helps smooth gear shifting and prolongs the seal life.,1.0,dropped,-022-q08
exact-012,getrag-022,getrag-022-q03,What problem is identified with the seal area on the shaft?,"The seal has been sitting and a close look reveals the shaft is coated, but it has a rough edge where the seal has worn through it.",1.0,kept,getrag-022-q03
exact-012,-022,-022-q09,What problem is identified with the seal area on the shaft?,"The problem is that the seal has worn through the coating, creating a rough edge where the seal has been sitting.",1.0,dropped,getrag-022-q03
exact-013,getrag-023,getrag-023-q01,What is the main shaft roller assembly component shown in the image?,It is the main shaft roller assembly inner sleeve and outer race.,1.0,kept,getrag-023-q01
exact-013,-023,-023-q01,What is the main shaft roller assembly component shown in the image?,The main shaft roller assembly inner sleeve and outer race.,1.0,dropped,getrag-023-q01
exact-014,getrag-007,getrag-007-q11,What type of bearing assembly is shown in the photograph?,"The image shows a ball bearing assembly with a helical gear, which is part of the syncro hub mechanism for the 2nd gear.",1.0,kept,getrag-007-q11
exact-014,-023,-023-q07,What type of bearing assembly is shown in the photograph?,A roller bearing assembly for the main shaft.,1.0,dropped,getrag-007-q11
exact-014,getrag-023,getrag-023-q05,What type of bearing assembly is shown in the photograph?,A main shaft roller assembly with inner sleeve and outer race components.,1.0,dropped,getrag-007-q11
exact-015,00-01_torque-s,00-01_torque-s-q02,What is the μ total range for cadmium-plated screws or nuts?,0.08 to 0.09 for cadmium-plated screws or nuts.,1.0,kept,00-01_torque-s-q02
exact-015,00-torque-specs-002,00-torque-specs-002-q04,What is the μ total range for cadmium-plated screws or nuts?,0.08 to 0.09,1.0,dropped,00-01_torque-s-q02
exact-015,bmwtorquespecs-002,bmwtorquespecs-002-q05,What is the μ total range for cadmium-plated screws or nuts?,0.08 to 0.09,1.0,dropped,00-01_torque-s-q02
exact-016,00-01_torque-s,00-01_torque-s-q09,Why is maintaining specified tightening torques important?,Maintaining specified tightening torques is vital for performing repair work to a professional standard. This presupposes that the torque wrenches required for this are subjected to a regular inspection.,1.0,kept,00-01_torque-s-q09
exact-016,00-torque-specs-002,00-torque-specs-002-q09,Why is maintaining specified tightening torques important?,Maintaining specified tightening torques is vital for performing repair work to a professional standard,1.0,dropped,00-01_torque-s-q09
exact-017,00-01_torque-s,00-01_torque-s-q10,Where can information about approved torque testing equipment be found?,Approved torque testing equipment is listed in the catalogue of workshop equipment planning documents.,1.0,kept,00-01_torque-s-q10
exact-017,bmwtorquespecs-002,bmwtorquespecs-002-q10,Where can information about approved torque testing equipment be found?,In the catalogue of workshop equipment planning documents,1.0,dropped,00-01_torque-s-q10
exact-018,00-04_torque-s,00-04_torque-s-q01,What is the maximum tightening torque for an M8 8.8 screw?,24 Nm (ft. lbs.),1.0,kept,00-04_torque-s-q01
exact-018,bmwtorquespecs-005,bmwtorquespecs-005-q01,What is the maximum tightening torque for an M8 8.8 screw?,24 Nm (ft. lbs.),1.0,dropped,00-04_torque-s-q01
exact-019,00-04_torque-s,00-04_torque-s-q03,What is the tightening torque for an M8 12.9 screw?,40 Nm (ft. lbs.),1.0,kept,00-04_torque-s-q03
exact-019,bmwtorquespecs-005,bmwtorquespecs-005-q03,What is the tightening torque for an M8 12.9 screw?,40 Nm (ft. lbs.),1.0,dropped,00-04_torque-s-q03
exact-020,00-04_torque-s,00-04_torque-s-q07,What BMW standard should I reference for the applicable range of tightening torques?,BMW N 600 02.0,1.0,kept,00-04_torque-s-q07
exact-020,00-05_torque-s,00-05_torque-s-q04,What BMW standard should I reference for the applicable range of tightening torques?,BMW N 600 02.0,1.0,dropped,00-04_torque-s-q07
exact-021,00-torque-specs-005,00-torque-specs-005-q07,How much more torque does an M8 12.9 bolt require compared to an M8 8.8 bolt?,"M8 12.9 requires 40 Nm while M8 8.8 requires 24 Nm, so 16 Nm more torque is required.",1.0,kept,00-torque-specs-005-q07
exact-021,00-04_torque-s,00-04_torque-s-q08,How much more torque does an M8 12.9 bolt require compared to an M8 8.8 bolt?,16 Nm more (40 Nm vs 24 Nm),1.0,dropped,00-torque-specs-005-q07
exact-022,00-05_torque-s,00-05_torque-s-q01,What is the maximum tightening torque for an M10 8.8 screw?,47 Nm (ft. lbs.),1.0,kept,00-05_torque-s-q01
exact-022,00-torque-specs-006,00-torque-specs-006-q01,What is the maximum tightening torque for an M10 8.8 screw?,47 Nm (ft. lbs.),1.0,dropped,00-05_torque-s-q01
exact-022,bmwtorquespecs-006,bmwtorquespecs-006-q01,What is the maximum tightening torque for an M10 8.8 screw?,47 Nm (ft. lbs.),1.0,dropped,00-05_torque-s-q01
exact-023,00-06_maintena,00-06_maintena-q01,What is the order number for the Service Indicator Resetter?,The Service Indicator Resetter order number is 62 1 100.,1.0,kept,00-06_maintena-q01
exact-023,00-13_maintena,00-13_maintena-q06,What is the order number for the Service Indicator resetter?,The Service Indicator resetter order number is 62 1 100.,1.0,dropped,00-06_maintena-q01
exact-024,00-06_torque-s,00-06_torque-s-q01,What is the maximum tightening torque for an M12 8.8 screw?,82 Nm (ft. lbs.),1.0,kept,00-06_torque-s-q01
exact-024,bmwtorquespecs-007,bmwtorquespecs-007-q01,What is the maximum tightening torque for an M12 8.8 screw?,82 Nm (ft. lbs.),1.0,dropped,00-06_torque-s-q01
exact-025,00-06_torque-s,00-06_torque-s-q09,What thread types are covered in this torque specification table?,M12 thread and M12x1.5 thread,1.0,kept,00-06_torque-s-q09
exact-025,00-09_torque-s,00-09_torque-s-q09,What thread types are covered in this torque specification table?,M18 thread and M18x1.5 thread,1.0,dropped,00-06_torque-s-q09
exact-025,bmwtorquespecs-007,bmwtorquespecs-007-q06,What thread types are covered in this torque specification table?,M12 thread and M12x1.5 thread,1.0,dropped,00-06_torque-s-q09
exact-025,bmwtorquespecs-008,bmwtorquespecs-008-q07,What thread types are covered in this torque specification table?,M14 thread and M14x1.5 thread,1.0,dropped,00-06_torque-s-q09
exact-026,00-07_torque-s,00-07_torque-s-q07,What BMW standard should I refer to for the applicable range of tightening torques?,BMW N 600 02.0,1.0,kept,00-07_torque-s-q07
exact-026,00-08_torque-s,00-08_torque-s-q07,What BMW standard should I refer to for the applicable range of tightening torques?,BMW N 600 02.0,1.0,dropped,00-07_torque-s-q07
exact-026,00-09_torque-s,00-09_torque-s-q08,What BMW standard should I refer to for the applicable range of tightening torques?,BMW N 600 02.0,1.0,dropped,00-07_torque-s-q07
exact-027,00-08_torque-s,00-08_torque-s-q02,What torque specification should I use for an M16 10.9 bolt?,280 Nm (ft. lbs.),1.0,kept,00-08_torque-s-q02
exact-027,bmwtorquespecs-009,bmwtorquespecs-009-q02,What torque specification should I use for an M16 10.9 bolt?,280 Nm (ft. lbs.),1.0,dropped,00-08_torque-s-q02
exact-028,00-08_torque-s,00-08_torque-s-q10,What section of the manual contains these M16 and M16x1.5 maximum tightening torques?,Section 00-8 General Instructions,1.0,kept,00-08_torque-s-q10
exact-028,00-torque-specs-009,00-torque-specs-009-q10,What section of the manual contains these M16 and M16x1.5 maximum tightening torques?,Section 00-8 General Instructions,1.0,dropped,00-08_torque-s-q10
exact-029,bmwtorquespecs-104,bmwtorquespecs-104-q09,What is the highest torque value shown in this specification table?,"The highest torque value shown is 50 Nm, which is for M20 screws on 4HP-22/4HP-24 transmissions for the plug on transfer plate.",1.0,kept,bmwtorquespecs-104-q09
exact-029,00-09_torque-s,00-09_torque-s-q10,What is the highest torque value shown in this specification table?,527 Nm (ft. lbs.) for M18x1.5 12.9,1.0,dropped,bmwtorquespecs-104-q09
exact-030,33-02_rear-axl,33-02_rear-axl-q12,What does the asterisk notation at the bottom of the page indicate?,The asterisk notation indicates 'See Specifications' for the tightening torque reference.,1.0,kept,33-02_rear-axl-q12
exact-030,00-11_maintena,00-11_maintena-q12,What does the asterisk notation at the bottom of the page indicate?,After introduction of: Operating-Fluids-File.,1.0,dropped,33-02_rear-axl-q12
exact-030,12-112_engine-e,12-112_engine-e-q12,What does the asterisk notation at the bottom of the page indicate?,The asterisk indicates 'See Specifications' for detailed values and parameters.,1.0,dropped,33-02_rear-axl-q12
exact-030,33-17_rear-axl,33-17_rear-axl-q11,What does the asterisk notation at the bottom of the page indicate?,See Specifications.,1.0,dropped,33-02_rear-axl-q12
exact-031,00-torque-specs-001,00-torque-specs-001-q02,What is the title of this section in the BMW E30 M3 service manual?,The title of this section is 'Tightening Torques'.,1.0,kept,00-torque-specs-001-q02
exact-031,bmwtorquespecs-001,bmwtorquespecs-001-q01,What is the title of this section in the BMW E30 M3 service manual?,Tightening Torques,1.0,dropped,00-torque-specs-001-q02
exact-032,00-torque-specs-002,00-torque-specs-002-q08,When are these torque specifications not applicable regarding surface conditions?,"Not applicable when using a different surface or lubricant condition on the thread, or if the height of the nut differs",1.0,kept,00-torque-specs-002-q08
exact-032,bmwtorquespecs-002,bmwtorquespecs-002-q06,When are these torque specifications not applicable regarding surface conditions?,"When using a different surface or lubricant condition on the thread, or if the height of the nut differs",1.0,dropped,00-torque-specs-002-q08
exact-033,00-torque-specs-003,00-torque-specs-003-q10,What is the torque specification for M5 8.8 screws?,5.9 Nm (ft. lbs.),1.0,kept,00-torque-specs-003-q10
exact-033,bmwtorquespecs-003,bmwtorquespecs-003-q07,What is the torque specification for M5 8.8 screws?,5.9 Nm (ft. lbs.),1.0,dropped,00-torque-specs-003-q10
exact-034,00-torque-specs-056,00-torque-specs-056-q09,What units are used for all the torque specifications in this table?,All torque specifications are given in Nm (Newton-meters).,1.0,kept,00-torque-specs-056-q09
exact-034,00-torque-specs-004,00-torque-specs-004-q10,What units are used for all the torque specifications in this table?,Nm (Newton-meters),1.0,dropped,00-torque-specs-056-q09
exact-034,bmwtorquespecs-007,bmwtorquespecs-007-q10,What units are used for all the torque specifications in this table?,Nm (ft. lbs.),1.0,dropped,00-torque-specs-056-q09
exact-035,00-torque-specs-005,00-torque-specs-005-q10,What units are used for the torque specifications in this table?,Nm (ft. lbs.) - Newton meters with foot-pounds equivalents in parentheses.,1.0,kept,00-torque-specs-005-q10
exact-035,00-torque-specs-058,00-torque-specs-058-q08,What units are used for the torque specifications in this table?,Nm (Newton meters),1.0,dropped,00-torque-specs-005-q10
exact-035,00-torque-specs-083,00-torque-specs-083-q09,What units are used for the torque specifications in this table?,Nm (ft. lbs.),1.0,dropped,00-torque-specs-005-q10
exact-035,00-torque-specs-099,00-torque-specs-099-q09,What units are used for the torque specifications in this table?,Nm (ft. lbs.).,1.0,dropped,00-torque-specs-005-q10
exact-035,bmwtorquespecs-003,bmwtorquespecs-003-q06,What units are used for the torque specifications in this table?,Nm (ft. lbs.),1.0,dropped,00-torque-specs-005-q10
exact-036,00-torque-specs-006,00-torque-specs-006-q08,What torque should I apply to an M10 10.9 screw?,66 Nm (ft. lbs.),1.0,kept,00-torque-specs-006-q08
exact-036,bmwtorquespecs-006,bmwtorquespecs-006-q06,What torque should I apply to an M10 10.9 screw?,66 Nm (ft. lbs.),1.0,dropped,00-torque-specs-006-q08
